ra,dec
ra,dec
294.20511,-45.40226694349687
294.74632,-45.32884536221147
295.28607,-45.25377617769446
295.82435,-45.17707924663981
296.36117,-45.09874957432241
296.89652,-45.01882499433938
297.43041,-44.9373233300331
297.96284,-44.85424146395299
298.49382,-44.76960725900001
299.02335,-44.68343650031552
299.55143,-44.595738080440455
300.07806,-44.50654768951483
300.60325,-44.41585424456562
301.12701,-44.32369440214389
301.64934,-44.23007598002878
302.17024,-44.13501571659755
302.68973,-44.03853132855812
303.2078,-43.94062951377705
303.72448,-43.8413389467981
304.23975,-43.74066633264927
304.75363,-43.63863025248115
305.26613,-43.53524641188362
305.77726,-43.43053330386193
306.28702,-43.32449758275254
306.79542,-43.21715782546602
307.30248,-43.10853150381498
307.80819,-42.998636147765744
308.31258,-42.88747822334595
308.81565,-42.7750752401445
309.31741,-42.66144657464695
309.81787,-42.54659867931788
310.31704,-42.43054791259035
310.81494,-42.313323634962615
311.31157,-42.19492315249836
311.80694,-42.07535279448345
312.30108,-41.954650808826926
312.79398,-41.832815439552206
313.28566,-41.709862900230505
313.77614,-41.585812389262365
314.26542,-41.460669009044125
314.75352,-41.334452928456734
315.24045,-41.2071702200842
315.72622,-41.078838941368666
316.21086,-40.94946611080556
316.69436,-40.81907974009569
317.17675,-40.68767778306256
317.65804,-40.55527617378948
318.13824,-40.42188380656327
318.61737,-40.28751754884093
319.09543,-40.1521952294378
319.57246,-40.01592465268332
320.04845,-39.87871257303336
320.52343,-39.74057673347267
320.9974,-39.601524819430594
321.47039,-39.46156449425608
321.94241,-39.3207223898893
322.41347,-39.17899609139727
322.8836,-39.03639317967627
323.3528,-38.89294113556791
323.82109,-38.74864749094528
324.28848,-38.60350967062488
324.755,-38.45754512693654
325.22065,-38.31077018426145
325.68546,-38.16319425299914
326.14944,-38.01482161012939
326.6126,-37.86566251669827
327.07497,-37.71573226451265
327.53655,-37.56503001497613
327.99737,-37.41358092383084
328.45744,-37.261393184803495
328.91677,-37.10846484732611
329.37539,-36.95481200230605
329.83331,-36.8004416662339
330.29055,-36.64537186340331
330.74712,-36.48959944710369
331.20304,-36.33314146593284
331.65833,-36.17600574829324
332.11301,-36.01819813455683
332.56709,-35.85972648103664
333.02058,-35.700607504103374
333.47351,-35.54083904984215
333.92589,-35.38043670727015
334.37775,-35.21941925694344
334.82909,-35.057772337215994
335.27993,-34.89551348295787
335.7303,-34.73265932283745
336.1802,-34.56920638979964
336.62966,-34.40516317783262
337.0787,-34.24055515400398
337.52733,-34.07536982053124
337.97556,-33.90962358024586
338.42342,-33.743313722876096
338.87093,-33.576466737472046
339.3181,-33.40907976901524
339.76495,-33.24115916601661
340.21149,-33.07271224826457
340.65775,-32.90374514255457
341.10374,-32.734275108155174
341.54948,-32.564298205389946
341.99499,-32.39383163407282
342.44029,-32.22287247718641
342.88538,-32.051435795660204
343.3303,-31.8795196071353
343.77506,-31.70714000506527
344.21968,-31.53429385719672
344.66417,-31.36100720111715
345.10856,-31.18726684235558
345.55285,-31.01307986220293
345.99708,-30.83847190968833
346.44125,-30.66343001546257
346.88538,-30.48798086856832
347.3295,-30.31211035030416
347.77362,-30.135835091097345
348.21776,-29.959162028053317
348.66194,-29.782095751889106
349.10617,-29.60464491063837
349.55048,-29.426825263781275
349.99487,-29.248622311865294
350.43938,-29.070052880679725
350.88401,-28.89113353689616
351.32879,-28.71186069727756
351.77374,-28.532240007469653
352.21887,-28.352278951225525
352.66419,-28.17199214151817
353.10974,-27.99137701828297
353.55553,-27.81045000567149
354.00157,-27.6292055224518
354.44788,-27.447662198977987
354.89448,-27.26581527163711
355.3414,-27.08368121557136
355.78864,-26.90126535991549
356.23623,-26.7185641435858
356.68419,-26.53560384724001
357.13253,-26.35237186357536
357.58127,-26.16889344533949
358.03043,-25.98515382542572
358.48003,-25.801190491237364
358.93008,-25.616978644170057
359.38061,-25.4325454434846
359.83163,-25.247895215986837
0.28317,-25.063027216452472
0.73523,-24.877964602144655
1.18784,-24.692694621029613
1.64102,-24.50724352015729
2.09478,-24.32160737487475
2.54914,-24.13580157720746
3.00413,-23.9498241496088
3.45975,-23.763699313315048
3.91603,-23.57741407400235
4.37299,-23.390993945650944
4.83064,-23.2044357456807
5.289,-23.017755620963207
5.74809,-22.83095889244869
6.20793,-22.644063661312536
6.66853,-22.4570529206212
7.12992,-22.26996590628505
7.59211,-22.082796750487475
8.05512,-21.8955533390266
8.51897,-21.708240137768573
8.98367,-21.52088403182841
9.44925,-21.33348225140447
9.91572,-21.146038891954586
10.3831,-20.958571975295968
10.8514,-20.77109773131512
11.32065,-20.58362201888614
11.79086,-20.39614025894287
12.26205,-20.208679467144336
12.73424,-20.02124683937852
13.20744,-19.83384741660172
13.68167,-19.64649819772938
14.15696,-19.459205575598933
14.6333,-19.2719853701951
15.11073,-19.08484514519591
15.58926,-18.897790713888877
16.06891,-18.710847485641946
16.54969,-18.52402420682493
17.03162,-18.33731550163156
17.51472,-18.15075952699904
17.999,-17.964351100757476
18.48448,-17.778107794073772
18.97118,-17.592036581921526
19.45911,-17.406163860812768
19.94828,-17.220485625593163
20.43872,-17.035030438286316
20.93044,-16.849803317491517
21.42345,-16.664811442858884
21.91777,-16.480082409003124
22.41342,-16.29563242527336
22.91041,-16.1114586806481
23.40875,-15.9275883655325
23.90846,-15.74402811596292
24.40955,-15.560805131660011
24.91204,-15.377926826650246
25.41595,-15.195399430669015
25.92127,-15.013252534105812
26.42804,-14.831500638645329
26.93626,-14.650141942991109
27.44595,-14.469214864460934
27.95711,-14.288725115880474
28.46976,-14.1087021054021
28.98392,-13.929141125750196
29.49959,-13.750062034385872
30.01679,-13.57150035925036
30.53552,-13.39345531513625
31.05581,-13.215963860704855
31.57765,-13.039014472441732
32.10106,-12.862654659040128
32.62606,-12.686882384416696
33.15264,-12.51172517642577
33.68083,-12.337201544548122
34.21062,-12.163329483455511
34.74203,-11.990128495274252
35.27506,-11.81761464931089
35.80973,-11.645807467207897
36.34604,-11.474734988126311
36.884,-11.304406008663346
37.42361,-11.134839106260454
37.96488,-10.96607258421437
38.50782,-10.798105272835803
39.05243,-10.63096601312456
39.59872,-10.464684861113987
40.14669,-10.299267763898026
40.69634,-10.13473674694653
41.24769,-9.971129959230712
41.80072,-9.808445329582604
42.35545,-9.646722976573288
42.91188,-9.485983266449317
43.47,-9.326235138173873
44.02982,-9.167507042198704
44.59134,-9.009828915198865
45.15456,-8.853211178330284
45.71947,-8.697684030700216
46.28608,-8.5432657425055
46.85438,-8.389977986535555
47.42438,-8.237839557453608
47.99606,-8.086891423947879
48.56943,-7.937142646625652
49.14447,-7.788614957437542
49.72119,-7.641328654897549
50.29958,-7.495323320586078
50.87963,-7.350610492409896
51.46134,-7.207210752784093
52.04469,-7.065144699333427
52.62968,-6.924452944930017
53.2163,-6.785138299268983
53.80454,-6.647239465962851
54.3944,-6.510769044732587
54.98585,-6.375758922077491
55.57888,-6.242229788584176
56.1735,-6.110202350338955
56.76967,-5.979699995992426
57.36739,-5.8507539488640425
57.96664,-5.723375690211224
58.56742,-5.597597686980155
59.16969,-5.473431453453458
59.77345,-5.350910458072384
60.37868,-5.230055278290809
60.98535,-5.110880627438398
61.59346,-4.99342662943716
62.20298,-4.877697790200745
